,title,artist,producer,streams,album_sales,bpm,gender,time_signature,fanbase,song_length,instrument_number,key,release_year,use_in_media,pop,rock,rap,country,hip_hop,alt.,reggae,r&b,sad,happy,angry,desperatation,hopeful,fearful,ashamed,romantic,grammy,vma,billboard_music_award,ama,mtv
SONG44,Independant Women Pt. I,Destiny's Child,Beyoncé Knowles Poke and Tone Cory Rooney,"290,623,493",1,138,1,7,16051589,221,5,G♭,2000,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SONG45,Slow Motion ,Juvenile ft. Soulja Slim,Dani Kartel,"125,290,727",0.5,95,2,7,2397908,212,5,C,2000,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
SONG46,Shape of you ,Ed Sheeran ,"Ed Sheeran, Steve Mac","4,029,822,298",13,96,2,7,75536528,233,4,D♭,2009,3,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1
SONG47,God's Plan,Drake,"Cardo, Yung Exclusive, Boi-1da, 40 (addi.)","2,607,278,448",5,77,2,7,75536528,198,4,G,2017,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SONG48,Rockstar ,DaBaby ft. Roddy Ricch,SethInTheKitchen,"570,504,940",5,90,2,7,24312482,181,4,B,2020,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SONG49,Mo Money Mo Problem ,The Notorious B.I.G ft. Puff daddy and Mase,"Stevie J, Sean ""Puffy"" Combs","516,590,680",1,105,2,7,25711571,257,5,G♭,1997,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SONG50,Havana,Camilla Cabello,Frank Dukes,"2,136,142,829",10,105,1,7,43813353,217,5,D,2017,2,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
SONG51,Panda ,Desiigner,	Menace,"1,198,281,294",5,145,1,7,4319890,198,4,B♭,2016,5,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG52,Kiss Kiss,Chris Brown ft. T-Pain,T-Pain,"296,865,063",1,140,2,4,50233823,212,5,B♭,2007,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SONG53,Always be my Baby ,Mariah Carey ,"Mariah Carey, Jermaine Dupri","408,466,485",5,79,1,7,28408943,258,5,E,1995,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0
SONG54,One more night,Maroon 5,"Shellback, Max Martin","953,513,168",6,93,2,7,64430172,219,5,F,2021,3,1,1,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0
SONG55,Low ,Flo Rida ft. T-Pain,"DJ Montay, T-Pain","1,130,560,004",4,145,2,7,31721529,212,5,B♭,2007,10,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
SONG56,Baby Boy ,Beyonce ft. Sean Paul,"Beyoncé, Scott Storch","340,084,392",1,91,9,7,55363635,243,5,D♭,2003,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
SONG57,Fancy,Iggy Azalea ft. Charli XCX,"The Invisible Men, the Arcade","745,053,243",9,95,1,7,7717204,192,4,B♭,2014,9,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
SONG58,Hold On ,Wilson Phillips,Glen Ballard,"194,130,691",0.5,98,2,7,1445471,234,6,F,2011,13,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SONG59,Try Again,Aaliyah ,Timbaland,"159,017,649",3,93,1,7,7405960,245,5,G♭,2000,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG60,Ain't it funny ,Jennifer Lopez ft. Ja Rule,"Cory Rooney, Dan Shea","31,862,500",3,89,9,7,25648492,213,5,B,2002,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG61,Bad and Boujee,Migos ft. Lil Uzi Vert,Metro Boomin G Koop,"954,314,924",4,127,9,7,18379814,334,4,B,2016,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SONG62,Nice for what,Drake,"40, Murda Beatz, Corey Litwin, Blaqnmild","1,311,233,576",9,93,2,7,75536528,210,5,A♭,2018,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG63,perfect,Ed Sheeran ,Ed Sheeran Will Hicks,"3,114,766,952",13,95,2,4,75536528,263,5,A♭,2017,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
SONG64,When a Man loves a women ,Micheal Bolton ,uncredited,"225,988,444",1,165,2,4,4221893,172,6,D♭,1966,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SONG65,gonna make you sweat,C+C music factory ,Clivillés and Cole,"232,975,944",2,112,9,7,2388059,244,4,G♭,1990,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG66,Grillz ,Nelly ft. Paul wall and Ali and Gipp,Jermaine Dupri,"141,133,961",1,83,2,7,19523135,213,3,E,2005,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SONG67,to be with you ,Mr. Big ,Kevin Elson,"380,398,307",0.5,84,2,7,2820313,207,4,E,1992,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
SONG68,7 rings ,Arianna grande,"Tommy Brown, Charles Anderson, Michael Foster","2,353,845,492",9,140,1,7,79805588,178,5,D♭,2019,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SONG69,I'm your Baby tonight ,Whitney houston ,"Whitney Houston, Babyface, L.A. Reid, Luther Vandross, Michael Masser, Narada Michael Walden, Ricky Minor, Stevie Wonder","46,527,822",10,165,1,4,25853889,241,5,G♭,1990,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0
SONG70,Sorry ,Justin Bieber,"BloodPop, Skrillex","2,202,182,274",1,100,2,7,81367610,200,5,C,2015,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SONG71,Dark Horse,katy perry,"Dr. Luke, Max Martin, Cirkut","1,535,678,797",6.4,132,5,7,61803550,215,5,G♭,2013,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
